;Grupo;Metrica;N;Min;Q1;Mediana;Q3;Max
0;0bdd44d530;MSE;10;770,5133;941,1558;966,8954;1655,7532;2385,3905
1;0bdd44d530;LBP Distance;10;0,0880;0,1303;0,1460;0,1981;0,2115
2;0bdd44d530;DSSIM;10;0,2798;0,2827;0,2888;0,3133;0,3413
3;1d798aa5d5;MSE;18;524,6719;539,8875;564,8446;595,2506;734,3958
4;1d798aa5d5;LBP Distance;18;0,0448;0,0646;0,0765;0,0858;0,1087
5;1d798aa5d5;DSSIM;18;0,2697;0,2747;0,2788;0,2825;0,2969
6;1bd1c8c771;MSE;6;673,2835;709,7424;733,5052;755,8764;764,2514
7;1bd1c8c771;LBP Distance;6;0,0802;0,0947;0,1051;0,1091;0,1196
8;1bd1c8c771;DSSIM;6;0,2373;0,2402;0,2480;0,2557;0,2565
9;3ce657b8f7;MSE;14;992,9299;1066,1895;1088,6922;1130,6076;1171,5023
10;3ce657b8f7;LBP Distance;14;0,1979;0,2074;0,2108;0,2154;0,2299
11;3ce657b8f7;DSSIM;14;0,2701;0,2837;0,2936;0,2964;0,3046
12;Total;MSE;48;524,6719;586,2247;767,3824;1086,2113;2385,3905
13;Total;LBP Distance;48;0,0448;0,0838;0,1145;0,2081;0,2299
14;Total;DSSIM;48;0,2373;0,2743;0,2824;0,2903;0,3413
