# run_dir;result\run_0c19639aeb
# run_timestamp;2025-09-14T10:28:32
# sample_path;tgs_salt/0c19639aeb.png
# sample_semantic_mask_path;tgs_salt/0c19639aebMask.png
# generat_mask_path;tgs_salt/0c19639aebMask.png
# window_height;101
# window_width;101
# kernel_size;11
# visualize;False
# iterations_requested;50
# iterations_completed;50
# --- métricas por iteração ---
iteration;output_file;time_sec;mse;dssim;lbp_distance
1;result\run_0c19639aeb\c130b7c8.jpg;40.008195;960.001372;0.201545;0.199157
2;result\run_0c19639aeb\300fd285.jpg;40.782134;896.698951;0.206521;0.173840
3;result\run_0c19639aeb\3d5c15f6.jpg;43.656330;879.034997;0.207242;0.118350
4;result\run_0c19639aeb\fd1b4757.jpg;44.110184;907.255073;0.216624;0.165755
5;result\run_0c19639aeb\ff42a13d.jpg;43.973423;1298.576414;0.222208;0.158190
6;result\run_0c19639aeb\7fa9304e.jpg;47.276888;806.084011;0.211615;0.156487
7;result\run_0c19639aeb\8c7ac6e3.jpg;46.786776;901.149005;0.215708;0.167138
8;result\run_0c19639aeb\a5474823.jpg;46.978899;1255.435055;0.219570;0.178699
9;result\run_0c19639aeb\45c67687.jpg;47.800298;872.393981;0.224565;0.163718
10;result\run_0c19639aeb\9fd93f96.jpg;46.125963;861.549162;0.200568;0.180272
11;result\run_0c19639aeb\d6f3e497.jpg;46.363087;845.103911;0.231113;0.172456
12;result\run_0c19639aeb\ffcc6c87.jpg;45.608534;1111.514459;0.220362;0.226009
13;result\run_0c19639aeb\5880db5d.jpg;45.477352;846.596412;0.199299;0.305568
14;result\run_0c19639aeb\bd4ecc7c.jpg;45.548112;805.727282;0.208528;0.155655
15;result\run_0c19639aeb\904ca6e0.jpg;45.237463;863.957847;0.221536;0.119899
16;result\run_0c19639aeb\2095a866.jpg;45.500900;901.940888;0.217991;0.194330
17;result\run_0c19639aeb\f6da3e41.jpg;45.540738;865.624645;0.214445;0.148864
18;result\run_0c19639aeb\288d264e.jpg;45.553736;1061.364278;0.231220;0.123106
19;result\run_0c19639aeb\e921c6cf.jpg;45.564794;802.418096;0.222473;0.148503
20;result\run_0c19639aeb\1f120dce.jpg;45.739594;1254.705715;0.228582;0.133190
21;result\run_0c19639aeb\5ff807c8.jpg;45.391208;1027.950985;0.201398;0.205202
22;result\run_0c19639aeb\39aace19.jpg;45.668870;1247.266739;0.230264;0.152826
23;result\run_0c19639aeb\0b610f1c.jpg;45.496045;1019.932360;0.223072;0.185203
24;result\run_0c19639aeb\3f54d590.jpg;45.512094;846.494853;0.214316;0.190624
25;result\run_0c19639aeb\17a02cb4.jpg;41923.755803;1076.795314;0.219432;0.213274
26;result\run_0c19639aeb\4e19de43.jpg;57.534460;884.172140;0.215922;0.209623
27;result\run_0c19639aeb\098fc915.jpg;41.187302;873.801000;0.227530;0.179545
28;result\run_0c19639aeb\d7cfc6e7.jpg;40.240929;641.295461;0.200587;0.247387
29;result\run_0c19639aeb\e1ab95bf.jpg;39.176981;951.292618;0.221593;0.158313
30;result\run_0c19639aeb\2dbbd374.jpg;38.555218;893.731007;0.215962;0.164129
31;result\run_0c19639aeb\10cf14f6.jpg;39.264932;1052.636800;0.221926;0.238378
32;result\run_0c19639aeb\95b82e5c.jpg;39.086860;777.834428;0.196502;0.121294
33;result\run_0c19639aeb\8913156e.jpg;37.077535;667.844917;0.197182;0.150630
34;result\run_0c19639aeb\2a2601fa.jpg;38.931723;1047.968140;0.215255;0.163828
35;result\run_0c19639aeb\94d725c0.jpg;39.709546;897.248603;0.216030;0.237198
36;result\run_0c19639aeb\636afb4c.jpg;38.505291;865.742476;0.205564;0.164600
37;result\run_0c19639aeb\eea2a20b.jpg;37.936379;1085.280953;0.240406;0.204523
38;result\run_0c19639aeb\ba9ab59a.jpg;39.353476;1001.961474;0.229465;0.118200
39;result\run_0c19639aeb\f33e1ac7.jpg;39.095011;857.114695;0.210753;0.180571
40;result\run_0c19639aeb\ca3ed538.jpg;38.361679;871.350554;0.209927;0.178874
41;result\run_0c19639aeb\e74f238a.jpg;38.898941;903.554553;0.208458;0.135736
42;result\run_0c19639aeb\20dd9806.jpg;37.309803;870.220174;0.213396;0.190827
43;result\run_0c19639aeb\d13d3e20.jpg;38.173997;864.442702;0.201193;0.233858
44;result\run_0c19639aeb\2145b3e0.jpg;38.927069;887.206156;0.211877;0.194626
45;result\run_0c19639aeb\071d3356.jpg;39.450169;1027.566709;0.235187;0.168635
46;result\run_0c19639aeb\6d21ac70.jpg;37.813835;928.366435;0.226519;0.129340
47;result\run_0c19639aeb\8502f970.jpg;40.289951;832.434467;0.204667;0.176195
48;result\run_0c19639aeb\e54cc3cd.jpg;38.895388;850.342025;0.215850;0.182930
49;result\run_0c19639aeb\8921e9d7.jpg;39.950556;1051.906186;0.232621;0.121939
50;result\run_0c19639aeb\5593dcc5.jpg;39.258982;1036.472895;0.230619;0.190402
