# run_dir;result\run_20250913_205605_b31cd115
# run_timestamp;2025-09-13T21:13:13
# sample_path;tgs_salt/3ce657b8f7.png
# sample_semantic_mask_path;tgs_salt/3ce657b8f7Mask.png
# generat_mask_path;tgs_salt/3ce657b8f7Mask.png
# window_height;101
# window_width;101
# kernel_size;11
# visualize;False
# iterations_requested;50
# iterations_completed;50
# --- métricas por iteração ---
iteration;output_file;time_sec;mse;dssim;lbp_distance
1;result\run_20250913_205605_b31cd115\a046b03e.jpg;19.763640;1123.940300;0.289752;0.246532
2;result\run_20250913_205605_b31cd115\40683ade.jpg;19.427917;1154.226939;0.294401;0.218154
3;result\run_20250913_205605_b31cd115\f7849be2.jpg;19.501062;1122.864131;0.288620;0.221402
4;result\run_20250913_205605_b31cd115\67c0bdd6.jpg;19.501985;1087.837173;0.287258;0.247072
5;result\run_20250913_205605_b31cd115\f4e483f5.jpg;19.481579;1106.956965;0.298408;0.240822
6;result\run_20250913_205605_b31cd115\85d463b6.jpg;19.524568;1127.696304;0.285120;0.220711
7;result\run_20250913_205605_b31cd115\f0270938.jpg;19.643169;1130.676208;0.298265;0.222871
8;result\run_20250913_205605_b31cd115\2b6587fe.jpg;21.289665;1049.526615;0.280158;0.235406
9;result\run_20250913_205605_b31cd115\a62fae39.jpg;20.752276;1091.715518;0.286665;0.257670
10;result\run_20250913_205605_b31cd115\245b53f6.jpg;20.106527;1084.463680;0.289934;0.222557
11;result\run_20250913_205605_b31cd115\779b91f5.jpg;19.794910;1036.840604;0.276424;0.271553
12;result\run_20250913_205605_b31cd115\8c693a7d.jpg;20.078346;1026.640721;0.290034;0.220133
13;result\run_20250913_205605_b31cd115\8b2b04fa.jpg;20.307380;1185.717087;0.290140;0.200648
14;result\run_20250913_205605_b31cd115\62e71312.jpg;19.726026;1140.882561;0.284752;0.271873
15;result\run_20250913_205605_b31cd115\ccec0c7e.jpg;19.548444;1055.117145;0.281404;0.242468
16;result\run_20250913_205605_b31cd115\c8db6671.jpg;19.632610;1089.740908;0.295391;0.239465
17;result\run_20250913_205605_b31cd115\99173826.jpg;19.685662;1079.973630;0.287966;0.238152
18;result\run_20250913_205605_b31cd115\3b6c91a8.jpg;19.716168;1077.450348;0.281728;0.206054
19;result\run_20250913_205605_b31cd115\e0ca09f8.jpg;20.004483;1123.946378;0.296717;0.227854
20;result\run_20250913_205605_b31cd115\5a79e381.jpg;20.148330;1061.670032;0.282913;0.222366
21;result\run_20250913_205605_b31cd115\4b869513.jpg;19.511531;1023.254289;0.292118;0.244550
22;result\run_20250913_205605_b31cd115\65609dfd.jpg;19.411555;1078.117537;0.281427;0.255789
23;result\run_20250913_205605_b31cd115\ab9e3622.jpg;20.123635;1065.785903;0.298775;0.239616
24;result\run_20250913_205605_b31cd115\039143a8.jpg;19.755879;1108.547495;0.289109;0.248103
25;result\run_20250913_205605_b31cd115\00c14016.jpg;20.148769;1050.867954;0.289776;0.204924
26;result\run_20250913_205605_b31cd115\2f4e669b.jpg;20.504271;1141.032742;0.293368;0.227648
27;result\run_20250913_205605_b31cd115\4aadac67.jpg;20.912669;1097.682580;0.290837;0.243762
28;result\run_20250913_205605_b31cd115\66547f43.jpg;20.463254;1202.455642;0.309754;0.219710
29;result\run_20250913_205605_b31cd115\0251dccb.jpg;20.075978;1168.242231;0.294657;0.208047
30;result\run_20250913_205605_b31cd115\c85ae9e0.jpg;20.841335;1132.134497;0.283188;0.210127
31;result\run_20250913_205605_b31cd115\1bd97350.jpg;19.888445;1183.732967;0.290060;0.236058
32;result\run_20250913_205605_b31cd115\dbbc5c17.jpg;20.180426;1179.484952;0.302702;0.213782
33;result\run_20250913_205605_b31cd115\4635ad60.jpg;20.594497;1168.059112;0.290045;0.205625
34;result\run_20250913_205605_b31cd115\38a7e175.jpg;20.790087;1049.465445;0.268266;0.227294
35;result\run_20250913_205605_b31cd115\7526d22c.jpg;22.782165;1112.068915;0.292579;0.209860
36;result\run_20250913_205605_b31cd115\4654d17a.jpg;21.273703;1002.792569;0.292179;0.237225
37;result\run_20250913_205605_b31cd115\44a50d32.jpg;21.479685;1083.385550;0.294665;0.216403
38;result\run_20250913_205605_b31cd115\954d1cc2.jpg;20.976250;1099.382708;0.283384;0.230730
39;result\run_20250913_205605_b31cd115\02b7d212.jpg;21.279110;1106.588276;0.298006;0.193296
40;result\run_20250913_205605_b31cd115\ae867737.jpg;21.543212;1096.063621;0.296949;0.233785
41;result\run_20250913_205605_b31cd115\7acee7b8.jpg;20.250401;1051.501127;0.284075;0.238736
42;result\run_20250913_205605_b31cd115\8236edbd.jpg;20.417002;1077.631605;0.290859;0.222106
43;result\run_20250913_205605_b31cd115\361c5960.jpg;21.707916;1015.238016;0.296553;0.261091
44;result\run_20250913_205605_b31cd115\cb48f458.jpg;20.072105;1125.413195;0.296206;0.212865
45;result\run_20250913_205605_b31cd115\867de881.jpg;19.742115;994.475149;0.277692;0.237695
46;result\run_20250913_205605_b31cd115\57cd3d80.jpg;21.029021;1072.616802;0.287865;0.230230
47;result\run_20250913_205605_b31cd115\adb468c3.jpg;24.180651;1130.259288;0.299518;0.214217
48;result\run_20250913_205605_b31cd115\56aa22dd.jpg;22.815012;987.743555;0.269131;0.241970
49;result\run_20250913_205605_b31cd115\b044a241.jpg;22.169150;1096.838545;0.286898;0.210128
50;result\run_20250913_205605_b31cd115\aa775112.jpg;24.953699;1001.647388;0.276904;0.232201
