# run_dir;result\run_5f43816c42
# run_timestamp;2025-09-14T10:14:46
# sample_path;tgs_salt/5f43816c42.png
# sample_semantic_mask_path;tgs_salt/5f43816c42Mask.png
# generat_mask_path;tgs_salt/5f43816c42Mask.png
# window_height;101
# window_width;101
# kernel_size;11
# visualize;False
# iterations_requested;50
# iterations_completed;50
# --- métricas por iteração ---
iteration;output_file;time_sec;mse;dssim;lbp_distance
1;result\run_5f43816c42\be89fa05.jpg;23.247775;1197.410254;0.272325;0.247243
2;result\run_5f43816c42\ba3c32be.jpg;22.983386;825.902559;0.236952;0.263464
3;result\run_5f43816c42\d76b7392.jpg;23.715436;884.646603;0.224729;0.258683
4;result\run_5f43816c42\b1b1351c.jpg;24.653564;1093.377806;0.290510;0.142830
5;result\run_5f43816c42\f863aa4b.jpg;24.749619;1095.811685;0.278905;0.135982
6;result\run_5f43816c42\ac55cd6d.jpg;24.785901;1201.942359;0.272035;0.297236
7;result\run_5f43816c42\6dfb40be.jpg;26.014414;740.360161;0.225266;0.262953
8;result\run_5f43816c42\40b8d496.jpg;27.175403;1050.030879;0.285047;0.130279
9;result\run_5f43816c42\9c317f68.jpg;26.679943;1184.570238;0.265613;0.283908
10;result\run_5f43816c42\1aeb3567.jpg;27.681154;772.894520;0.237459;0.257689
11;result\run_5f43816c42\9c08fd77.jpg;27.046696;1033.368787;0.279775;0.185143
12;result\run_5f43816c42\c0ef697e.jpg;28.006298;868.948142;0.242437;0.287749
13;result\run_5f43816c42\d47b0b74.jpg;29.729009;864.462994;0.232787;0.265967
14;result\run_5f43816c42\f241fd22.jpg;29.071657;782.242721;0.247850;0.253062
15;result\run_5f43816c42\3986be3c.jpg;29.335071;1149.812273;0.270603;0.345525
16;result\run_5f43816c42\5ea29343.jpg;28.429038;594.642192;0.212681;0.269177
17;result\run_5f43816c42\6c3266e3.jpg;29.821983;1202.729634;0.260475;0.318837
18;result\run_5f43816c42\450f7a3f.jpg;29.604343;869.393981;0.219019;0.241124
19;result\run_5f43816c42\3535f153.jpg;28.476388;790.874620;0.235237;0.204992
20;result\run_5f43816c42\21bf1ac1.jpg;28.339421;1169.845995;0.251970;0.276205
21;result\run_5f43816c42\039bc708.jpg;28.586062;872.407411;0.254210;0.216883
22;result\run_5f43816c42\e40146d1.jpg;28.250109;1163.855700;0.256262;0.203501
23;result\run_5f43816c42\1650c5b2.jpg;28.163847;896.617881;0.266696;0.208641
24;result\run_5f43816c42\2086a745.jpg;27.967331;1162.729830;0.263390;0.216622
25;result\run_5f43816c42\5b29b96d.jpg;27.909693;1174.540535;0.262308;0.289489
26;result\run_5f43816c42\6880645b.jpg;28.146842;819.695128;0.233163;0.197258
27;result\run_5f43816c42\759675e8.jpg;27.827848;765.651505;0.241354;0.164682
28;result\run_5f43816c42\f5249964.jpg;27.864094;911.522204;0.229220;0.302391
29;result\run_5f43816c42\8f4de5ef.jpg;28.062499;1016.355455;0.259001;0.258305
30;result\run_5f43816c42\6a0cb1ae.jpg;28.053751;858.827076;0.237103;0.246952
31;result\run_5f43816c42\9a202cf0.jpg;28.106051;954.020390;0.238416;0.248786
32;result\run_5f43816c42\a6dc639e.jpg;28.014341;927.863053;0.240938;0.218797
33;result\run_5f43816c42\6f7ea18b.jpg;27.889556;750.527595;0.227507;0.298147
34;result\run_5f43816c42\c22def83.jpg;28.184777;950.410156;0.233992;0.176456
35;result\run_5f43816c42\b02aa4c6.jpg;28.152732;1140.121655;0.233790;0.344860
36;result\run_5f43816c42\b62e1a6a.jpg;28.303874;772.332712;0.236512;0.179686
37;result\run_5f43816c42\5b289aef.jpg;28.064887;904.782178;0.243063;0.241805
38;result\run_5f43816c42\c0a7aa8d.jpg;28.154727;760.433193;0.238820;0.299986
39;result\run_5f43816c42\77a43aff.jpg;28.526029;881.598079;0.261054;0.309768
40;result\run_5f43816c42\61df1b69.jpg;28.623849;880.485933;0.231674;0.281246
41;result\run_5f43816c42\9d15511f.jpg;28.315801;774.086854;0.236085;0.274266
42;result\run_5f43816c42\a43e87ae.jpg;28.697482;1193.782668;0.270484;0.270792
43;result\run_5f43816c42\f73945bd.jpg;28.604839;755.894814;0.231875;0.275345
44;result\run_5f43816c42\b46fb2d2.jpg;1829.014927;798.235075;0.232511;0.257317
45;result\run_5f43816c42\8295b427.jpg;40116.067753;824.271738;0.247332;0.237306
46;result\run_5f43816c42\c16eb7de.jpg;29.703424;1152.255955;0.250915;0.343593
47;result\run_5f43816c42\01952848.jpg;25.767268;750.638663;0.226105;0.245593
48;result\run_5f43816c42\d15587b8.jpg;25.701823;701.534751;0.218548;0.268282
49;result\run_5f43816c42\401176f9.jpg;24.843658;760.507793;0.211394;0.253560
50;result\run_5f43816c42\e3e2c13e.jpg;24.952205;700.511911;0.221093;0.248057
